Species,Rank_1,Rank_2,Rank_3,Rank_4,Rank_5,Rank_6,Rank_7,Rank_8,Rank_9,Rank_10,Rank_11,Rank_12,Rank_13,Rank_14,Rank_15,Rank_16,Rank_17,Rank_18,Rank_19,Rank_20,Rank_21,Rank_22,Rank_23,Rank_24,Rank_25
Kyrpidia sp. EA-1,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Alicyclobacillaceae,Kyrpidia,,,,,,,,,,,,,,,,,
Kyrpidia tusciae,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Alicyclobacillaceae,Kyrpidia,,,,,,,,,,,,,,,,,
Kytococcus sedentarius,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Kytococcaceae,Kytococcus,,,,,,,,,,,,,,,,,
Labrenzia aggregata,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Stappiaceae,Roseibium,,,,,,,,,,,,,,,,,
Labrenzia sp. CP4,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Stappiaceae,Labrenzia,unclassified Labrenzia,,,,,,,,,,,,,,,,
Labrenzia sp. VG12,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Stappiaceae,Labrenzia,unclassified Labrenzia,,,,,,,,,,,,,,,,
Laceyella sp. FBKL4.010,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Thermoactinomycetaceae,Laceyella,,,,,,,,,,,,,,,,,
Lachnoclostridium phocaeense,cellular organisms,Bacteria,Bacillati,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,,,,,,,,,,,,,,,,,
Lachnoclostridium phytofermentans,cellular organisms,Bacteria,Bacillati,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,,,,,,,,,,,,,,,,,
Lachnoclostridium sp. YL32,cellular organisms,Bacteria,Bacillati,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,unclassified Lachnoclostridium,,,,,,,,,,,,,,,,
Lacimicrobium alkaliphilum,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Lacimicrobium,,,,,,,,,,,,,,,,,
Lacinutrix sp. 5H-3-7-4,cellular organisms,Bacteria,Pseudomonadati,FCB group,Bacteroidota/Chlorobiota group,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Lacinutrix,unclassified Lacinutrix,,,,,,,,,,,,,,
Lacinutrix sp. Bg11-31,cellular organisms,Bacteria,Pseudomonadati,FCB group,Bacteroidota/Chlorobiota group,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Lacinutrix,unclassified Lacinutrix,,,,,,,,,,,,,,
Lacinutrix venerupis,cellular organisms,Bacteria,Pseudomonadati,FCB group,Bacteroidota/Chlorobiota group,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Lacinutrix,,,,,,,,,,,,,,,
Lactobacillales bacterium,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,unclassified Lactobacillales,,,,,,,,,,,,,,,,,,
Lactobacillus acetotolerans,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus acidipiscis,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus acidophilus,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus agilis,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus alimentarius,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus allii,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus amylolyticus,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus amylophilus,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus amylovorus,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus backii,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Loigolactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus brevis,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus buchneri,,,,,,,,,,,,,,,,,,,,,,,,,
Lactobacillus casei,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,,,,,,,,,,,,,,,,,
Lactobacillus coryniformis,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Loigolactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus crustorum,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus curieae,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus curvatus,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Latilactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus delbrueckii,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus farciminis,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus fermentum,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus gallinarum,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus gasseri,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus ginsenosidimutans,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus heilongjiangensis,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus helveticus,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus hokkaidonensis,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Paucilactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus jensenii,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus johnsonii,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus kefiranofaciens,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus koreensis,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus kunkeei,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus lindneri,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Fructilactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus mucosae,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus parabuchneri,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus paracasei,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,,,,,,,,,,,,,,,,,
Lactobacillus paracollinoides,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Secundilactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus paraplantarum,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,,,,,,,,,,,,,,,,,
Lactobacillus pentosus,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,,,,,,,,,,,,,,,,,
Lactobacillus phage KC5a,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Lactobacillus phage LF1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Lafunavirus,Lafunavirus LF1,,,,,,,,,,,,,,,,,,
Lactobacillus phage Lc-Nu,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Lacnuvirus,Lacnuvirus LcNu,,,,,,,,,,,,,,,,,,
Lactobacillus phage LfeInf,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Herelleviridae,Hopescreekvirus,Hopescreekvirus LfeInf,,,,,,,,,,,,,,,,,
Lactobacillus phage LfeSau,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Lactobacillus phage Lv-1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Lactobacillus phage Sha1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Lactobacillus phage phiAQ113,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Lactobacillus phage phiJB,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Lactobacillus phage phiPYB5,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Lactobacillus phage phiadh,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Lactobacillus phage phig1e,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Lactobacillus plantarum,,,,,,,,,,,,,,,,,,,,,,,,,
Lactobacillus prophage Lj771,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Lactobacillus reuteri,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus rhamnosus,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,,,,,,,,,,,,,,,,,
Lactobacillus ruminis,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus sakei,,,,,,,,,,,,,,,,,,,,,,,,,
Lactobacillus salivarius,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus sanfranciscensis,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Fructilactobacillus,,,,,,,,,,,,,,,,,
Lactobacillus sp. wkB8,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,unclassified Lactobacillus,,,,,,,,,,,,,,,,
Lactobacillus virus LLKu,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Cequinquevirus,,,,,,,,,,,,,,,,,,,
Lactobacillus virus LP65,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Herelleviridae,Salchichonvirus,,,,,,,,,,,,,,,,,,
Lactobacillus virus Lb338-1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Herelleviridae,Mooreparkvirus,,,,,,,,,,,,,,,,,,
Lactobacillus virus Ld17,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Cequinquevirus,,,,,,,,,,,,,,,,,,,
Lactobacillus virus Ld25A,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Cequinquevirus,,,,,,,,,,,,,,,,,,,
Lactobacillus virus phiJL1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Coetzeevirus,,,,,,,,,,,,,,,,,,,
Lactobacillus zymae,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,,,,,,,,,,,,,,,,,
Lactococcus garvieae,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,,,,,,,,,,,,,,,,,
Lactococcus lactis,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,,,,,,,,,,,,,,,,,
Lactococcus phage 1706,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Fremauxvirus,Fremauxvirus fv1706,,,,,,,,,,,,,,,,,,
Lactococcus phage 28201,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Lactococcus phage 340,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Skunavirus,Skunavirus sv340,,,,,,,,,,,,,,,,,,
Lactococcus phage 63301,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Lactococcus phage 949,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Audreyjarvisvirus,Audreyjarvisvirus av949,,,,,,,,,,,,,,,,,,
Lactococcus phage 98201,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Lactococcus phage BK5-T,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Sandinevirus,Sandinevirus BK5T,,,,,,,,,,,,,,,,,,
Lactococcus phage BM13,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Vedamuthuvirus,Vedamuthuvirus BM13,,,,,,,,,,,,,,,,,,
Lactococcus phage D4410,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Ceduovirus,Ceduovirus D4410,,,,,,,,,,,,,,,,,,
Lactococcus phage D4412,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Ceduovirus,Ceduovirus D4412,,,,,,,,,,,,,,,,,,
Lactococcus phage M5938,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Ceduovirus,Ceduovirus M5938,,,,,,,,,,,,,,,,,,
Lactococcus phage M6165,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Ceduovirus,unclassified Ceduovirus,,,,,,,,,,,,,,,,,,
Lactococcus phage P087,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Teubervirus,Teubervirus P087,,,,,,,,,,,,,,,,,,
Lactococcus phage P335 sensu lato,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Lactococcus phage P680,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Skunavirus,Skunavirus P680,,,,,,,,,,,,,,,,,,
Lactococcus phage TP901-1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Lactococcus phage Tuc2009,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Lactococcus phage WRP3,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Audreyjarvisvirus,Audreyjarvisvirus WRP3,,,,,,,,,,,,,,,,,,
Lactococcus phage jm2,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Skunavirus,Skunavirus jm2,,,,,,,,,,,,,,,,,,
Lactococcus phage jm3,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Skunavirus,Skunavirus jm3,,,,,,,,,,,,,,,,,,
Lactococcus phage phi7,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Skunavirus,Skunavirus sv7,,,,,,,,,,,,,,,,,,
Lactococcus phage phiL47,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Audreyjarvisvirus,Audreyjarvisvirus L47,,,,,,,,,,,,,,,,,,
Lactococcus phage r1t,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Lactococcus phage ul36,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,,,,,,,,,,,,,,,,
Lactococcus piscium,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,,,,,,,,,,,,,,,,,
Lactococcus raffinolactis,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,,,,,,,,,,,,,,,,,
Lactococcus virus 712,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Skunavirus,,,,,,,,,,,,,,,,,,,
Lactococcus virus ASCC191,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Skunavirus,,,,,,,,,,,,,,,,,,,
Lactococcus virus Bibb29,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Skunavirus,,,,,,,,,,,,,,,,,,,
Lactococcus virus CB13,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Skunavirus,,,,,,,,,,,,,,,,,,,
Lactococcus virus CB14,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Skunavirus,,,,,,,,,,,,,,,,,,,
Lactococcus virus P008,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Skunavirus,,,,,,,,,,,,,,,,,,,
Lactococcus virus Sl4,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Skunavirus,,,,,,,,,,,,,,,,,,,
Lactococcus virus bIL170,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Skunavirus,,,,,,,,,,,,,,,,,,,
Lactococcus virus bIL67,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Ceduovirus,,,,,,,,,,,,,,,,,,,
Lactococcus virus c2,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Ceduovirus,,,,,,,,,,,,,,,,,,,
Lactococcus virus jj50,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Skunavirus,,,,,,,,,,,,,,,,,,,
Lactococcus virus sk1,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Skunavirus,,,,,,,,,,,,,,,,,,,
Lacunisphaera limnophila,cellular organisms,Bacteria,Pseudomonadati,PVC group,Verrucomicrobiota,Opitutia,Opitutales,Opitutaceae,Lacunisphaera,,,,,,,,,,,,,,,,
Laribacter hongkongensis,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Neisseriales,Aquaspirillaceae,Laribacter,,,,,,,,,,,,,,,,,
Lawsonella clevelandensis,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Lawsonellaceae,Lawsonella,,,,,,,,,,,,,,,,,
Lawsonia intracellularis,cellular organisms,Bacteria,Pseudomonadati,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Lawsonia,,,,,,,,,,,,,,,,,
Leadbetterella byssophila,cellular organisms,Bacteria,Pseudomonadati,FCB group,Bacteroidota/Chlorobiota group,Bacteroidota,Cytophagia,Cytophagales,Leadbetterellaceae,Leadbetterella,,,,,,,,,,,,,,,
Leclercia adecarboxylata,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Leclercia,,,,,,,,,,,,,,,,,
Leclercia sp. LSNIH1,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Leclercia,unclassified Leclercia,,,,,,,,,,,,,,,,
Legionella clemsonensis,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,,,,,,,,,,,,,,,,,
Legionella fallonii,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,,,,,,,,,,,,,,,,,
Legionella hackeliae,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,,,,,,,,,,,,,,,,,
Legionella lansingensis,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,,,,,,,,,,,,,,,,,
Legionella longbeachae,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,,,,,,,,,,,,,,,,,
Legionella oakridgensis,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,,,,,,,,,,,,,,,,,
Legionella pneumophila,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,,,,,,,,,,,,,,,,,
Legionella sainthelensi,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,,,,,,,,,,,,,,,,,
Legionella spiritensis,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,,,,,,,,,,,,,,,,,
Legionella waltersii,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,,,,,,,,,,,,,,,,,
Leifsonia xyli,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Leifsonia,,,,,,,,,,,,,,,,,
Leishmania major,cellular organisms,Eukaryota,Discoba,Euglenozoa,Kinetoplastea,Metakinetoplastina,Trypanosomatida,Trypanosomatidae,Leishmaniinae,Leishmania,Leishmania,Leishmania major species complex,,,,,,,,,,,,,
Leisingera methylohalidivorans,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Leisingera,,,,,,,,,,,,,,,,,
Lelliottia amnigena,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Lelliottia,,,,,,,,,,,,,,,,,
Lelliottia sp. PFL01,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Lelliottia,,,,,,,,,,,,,,,,,
Lentibacillus amyloliquefaciens,cellular organisms,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Lentibacillus,,,,,,,,,,,,,,,,,
Lentzea guizhouensis,cellular organisms,Bacteria,Bacillati,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Lentzea,,,,,,,,,,,,,,,,,
Leptolyngbya boryana,cellular organisms,Bacteria,Bacillati,Cyanobacteriota/Melainabacteria group,Cyanobacteriota,Cyanophyceae,Leptolyngbyales,Leptolyngbyaceae,Leptolyngbya group,Leptolyngbya,,,,,,,,,,,,,,,
Leptolyngbya sp. NIES-3755,cellular organisms,Bacteria,Bacillati,Cyanobacteriota/Melainabacteria group,Cyanobacteriota,Cyanophyceae,Leptolyngbyales,Leptolyngbyaceae,Leptolyngbya group,Leptolyngbya,unclassified Leptolyngbya,,,,,,,,,,,,,,
Leptolyngbya sp. O-77,cellular organisms,Bacteria,Bacillati,Cyanobacteriota/Melainabacteria group,Cyanobacteriota,Cyanophyceae,Leptolyngbyales,Leptolyngbyaceae,Leptolyngbya group,Leptolyngbya,unclassified Leptolyngbya,,,,,,,,,,,,,,
Leptolyngbya sp. PCC 7376,cellular organisms,Bacteria,Bacillati,Cyanobacteriota/Melainabacteria group,Cyanobacteriota,Cyanophyceae,Oscillatoriophycideae,Chroococcales,Geminocystaceae,Picosynechococcus,unclassified Picosynechococcus,,,,,,,,,,,,,,
Leptospira alstonii,cellular organisms,Bacteria,Pseudomonadati,Spirochaetota,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,,,,,,,,,,,,,,,,,
Leptospira biflexa,cellular organisms,Bacteria,Pseudomonadati,Spirochaetota,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,,,,,,,,,,,,,,,,,
Leptospira interrogans,cellular organisms,Bacteria,Pseudomonadati,Spirochaetota,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,,,,,,,,,,,,,,,,,
Leptothrix cholodnii,cellular organisms,Bacteria,Pseudomonadati,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Leptothrix,,,,,,,,,,,,,,,,,
Leptotrichia buccalis,cellular organisms,Bacteria,Fusobacteriati,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,,,,,,,,,,,,,,,,,
